block;number_of_variants;height_external;width_external;volume;blast_resistance;luminance;conductive;full_cube;spawnable;movable
Potted Birch Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Blue Orchid;38;6;11;726;0.0;0.0;0;0;0;1
Potted Brown Mushroom;38;6;11;726;0.0;0.0;0;0;0;1
Potted Cactus;38;6;11;726;0.0;0.0;0;0;0;1
Potted Cherry Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Closed Eyeblossom;38;6;11;726;0.0;0.0;0;0;0;1
Potted Cornflower;38;6;11;726;0.0;0.0;0;0;0;1
Potted Crimson Fungus;38;6;11;726;0.0;0.0;0;0;0;1
Potted Crimson Roots;38;6;11;726;0.0;0.0;0;0;0;1
Potted Dandelion;38;6;11;726;0.0;0.0;0;0;0;1
Potted Dark Oak Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Dead Bush;38;6;11;726;0.0;0.0;0;0;0;1
Potted Fern;38;6;11;726;0.0;0.0;0;0;0;1
Potted Flowering Azalea;38;6;11;726;0.0;0.0;0;0;0;1
Potted Jungle Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Lily of the Valley;38;6;11;726;0.0;0.0;0;0;0;1
Potted Mangrove Propagule;38;6;11;726;0.0;0.0;0;0;0;1
Potted Oak Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Open Eyeblossom;38;6;11;726;0.0;0.0;0;0;0;1
Potted Orange Tulip;38;6;11;726;0.0;0.0;0;0;0;1
Potted Oxeye Daisy;38;6;11;726;0.0;0.0;0;0;0;1
Potted Pale Oak Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Pink Tulip;38;6;11;726;0.0;0.0;0;0;0;1
Potted Poppy;38;6;11;726;0.0;0.0;0;0;0;1
Potted Red Mushroom;38;6;11;726;0.0;0.0;0;0;0;1
Potted Red Tulip;38;6;11;726;0.0;0.0;0;0;0;1
Potted Spruce Sapling;38;6;11;726;0.0;0.0;0;0;0;1
Potted Torchflower;38;6;11;726;0.0;0.0;0;0;0;1
Potted Warped Fungus;38;6;11;726;0.0;0.0;0;0;0;1
Potted Warped Roots;38;6;11;726;0.0;0.0;0;0;0;1
Potted White Tulip;38;6;11;726;0.0;0.0;0;0;0;1
Potted Wither Rose;38;6;11;726;0.0;0.0;0;0;0;1
Allium;19;0;0;0;0.0;0.0;0;0;0;1
Azure Bluet;19;0;0;0;0.0;0.0;0;0;0;1
Blue Orchid;19;0;0;0;0.0;0.0;0;0;0;1
Closed Eyeblossom;19;0;0;0;0.0;0.0;0;0;0;1
Cornflower;19;0;0;0;0.0;0.0;0;0;0;1
Dandelion;19;0;0;0;0.0;0.0;0;0;0;1
Lilac;19;0;0;0;0.0;0.0;0;0;0;1
Lily of the Valley;19;0;0;0;0.0;0.0;0;0;0;1
Open Eyeblossom;19;0;0;0;0.0;0.0;0;0;0;1
Orange Tulip;19;0;0;0;0.0;0.0;0;0;0;1
Oxeye Daisy;19;0;0;0;0.0;0.0;0;0;0;1
Peony;19;0;0;0;0.0;0.0;0;0;0;1
Pink Tulip;19;0;0;0;0.0;0.0;0;0;0;1
Poppy;19;0;0;0;0.0;0.0;0;0;0;1
Red Tulip;19;0;0;0;0.0;0.0;0;0;0;1
Rose Bush;19;0;0;0;0.0;0.0;0;0;0;1
Sunflower;19;0;0;0;0.0;0.0;0;0;0;1
White Tulip;19;0;0;0;0.0;0.0;0;0;0;1
Wither Rose;19;0;0;0;0.0;0.0;0;0;0;1
Ochre Froglight;3;16;16;4096;0.3;15.0;2;2;0;3
Pearlescent Froglight;3;16;16;4096;0.3;15.0;2;2;0;3
Verdant Froglight;3;16;16;4096;0.3;15.0;2;2;0;3
Frogspawn;1;0;0;0;0.0;0.0;0;0;0;1
Frosted Ice;1;16;16;4096;0.5;0.0;0;2;3;3
Crimson Fungus;2;0;0;0;0.0;0.0;0;0;0;1
Warped Fungus;2;0;0;0;0.0;0.0;0;0;0;1
Furnace;1;16;16;4096;3.5;6.5;2;2;5;0
Gilded Blackstone;1;16;16;4096;6.0;0.0;2;2;5;3
Glass;1;16;16;4096;0.3;0.0;0;2;0;3
Glass Pane;1;16;12;2304;50.15;0.0;0;0;0;3
Black Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Blue Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Brown Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Cyan Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Gray Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Green Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Light Blue Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Light Gray Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Lime Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Magenta Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Orange Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Pink Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Purple Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Red Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
White Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Yellow Glazed Terracotta;16;16;16;4096;1.4;0.0;2;2;5;3
Glow Lichen;1;0;0;0;50.1;6.0;0;0;0;1
Glowstone;1;16;16;4096;0.3;15.0;0;2;0;3
Deepslate Gold Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Gold Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Granite;2;16;16;4096;6.0;0.0;2;2;5;3
Polished Granite;2;16;16;4096;6.0;0.0;2;2;5;3
Grass Block;1;16;16;4096;0.6000000000000001;0.0;2;2;5;3
Gravel;1;16;16;4096;0.6000000000000001;0.0;2;2;5;3
Grindstone;1;12;13;2028;6.0;0.0;0;0;0;0
Hanging Roots;1;0;0;0;50.0;0.0;0;0;0;1
Acacia Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Acacia Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Bamboo Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Bamboo Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Birch Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Birch Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Cherry Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Cherry Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Crimson Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Crimson Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Dark Oak Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Dark Oak Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Jungle Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Jungle Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Mangrove Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Mangrove Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Oak Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Oak Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Pale Oak Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Pale Oak Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Spruce Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Spruce Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Warped Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Warped Wall Hanging Sign;24;16;13;2704;50.5;0.0;0;0;0;0
Hay Bale;1;16;16;4096;0.5;0.0;2;2;5;3
Creeper Head;14;10;12;1440;1.0;0.0;0;0;0;1
Creeper Wall Head;14;10;12;1440;1.0;0.0;0;0;0;1
Dragon Head;14;10;12;1440;1.0;0.0;0;0;0;1
Dragon Wall Head;14;10;12;1440;1.0;0.0;0;0;0;1
Piglin Head;14;10;12;1440;1.0;0.0;0;0;0;1
Piglin Wall Head;14;10;12;1440;1.0;0.0;0;0;0;1
Player Head;14;10;12;1440;1.0;0.0;0;0;0;1
Player Wall Head;14;10;12;1440;1.0;0.0;0;0;0;1
Skeleton Skull;14;10;12;1440;1.0;0.0;0;0;0;1
Skeleton Wall Skull;14;10;12;1440;1.0;0.0;0;0;0;1
Wither Skeleton Skull;14;10;12;1440;1.0;0.0;0;0;0;1
Wither Skeleton Wall Skull;14;10;12;1440;1.0;0.0;0;0;0;1
Zombie Head;14;10;12;1440;1.0;0.0;0;0;0;1
Zombie Wall Head;14;10;12;1440;1.0;0.0;0;0;0;1
Heavy Core;1;8;12;1152;1200.0;0.0;0;0;0;3
Honey Block;1;15;15;3375;0.0;0.0;0;0;0;3
Honeycomb Block;1;16;16;4096;0.6000000000000001;0.0;2;2;5;3
Hopper;1;13;12;1872;4.8;0.0;0;0;0;0
Crimson Hyphae;4;16;16;4096;2.0;0.0;2;2;5;3
Stripped Crimson Hyphae;4;16;16;4096;2.0;0.0;2;2;5;3
Stripped Warped Hyphae;4;16;16;4096;2.0;0.0;2;2;5;3
Warped Hyphae;4;16;16;4096;2.0;0.0;2;2;5;3
Ice;1;16;16;4096;0.5;0.0;0;2;3;3
Iron Bars;1;16;12;2304;53.0;0.0;0;0;0;3
Deepslate Iron Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Iron Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Jack o'Lantern;1;16;16;4096;1.0;15.0;2;2;5;1
Jigsaw Block;1;16;16;4096;3600000.0;0.0;2;2;5;0
Jukebox;1;16;16;4096;6.0;0.0;2;2;5;0
Kelp;2;0;0;0;100.0;0.0;0;0;0;1
Kelp Plant;2;0;0;0;100.0;0.0;0;0;0;1
Ladder;1;16;9;1296;50.2;0.0;0;0;0;1
Lantern;2;8;10;800;51.75;15.0;0;0;0;1
Soul Lantern;2;8;10;800;51.75;10.0;0;0;0;1
Deepslate Lapis Lazuli Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Lapis Lazuli Ore;2;16;16;4096;3.0;0.0;2;2;5;3
Lava;1;0;0;0;100.0;15.0;0;0;0;1
Acacia Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Azalea Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Birch Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Cherry Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Dark Oak Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Flowering Azalea Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Jungle Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Mangrove Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Oak Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Pale Oak Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Spruce Leaves;11;16;16;4096;50.1;0.0;0;2;2;1
Lectern;1;8;14;1568;2.5;0.0;0;0;0;0
Lever;1;0;0;0;0.5;0.0;0;0;0;1
Light;1;0;0;0;3600000.75;7.5;0;0;0;0
Lightning Rod;1;13;13;2197;53.0;0.0;0;0;0;3
Lily Pad;1;1;15;225;0.0;0.0;0;0;0;1
Lodestone;1;16;16;4096;3.5;0.0;2;2;5;0
Acacia Log;18;16;16;4096;2.0;0.0;2;2;5;3
Birch Log;18;16;16;4096;2.0;0.0;2;2;5;3
Cherry Log;18;16;16;4096;2.0;0.0;2;2;5;3
Dark Oak Log;18;16;16;4096;2.0;0.0;2;2;5;3
Jungle Log;18;16;16;4096;2.0;0.0;2;2;5;3
Mangrove Log;18;16;16;4096;2.0;0.0;2;2;5;3
Oak Log;18;16;16;4096;2.0;0.0;2;2;5;3
Pale Oak Log;18;16;16;4096;2.0;0.0;2;2;5;3
Spruce Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Acacia Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Birch Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Cherry Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Dark Oak Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Jungle Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Mangrove Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Oak Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Pale Oak Log;18;16;16;4096;2.0;0.0;2;2;5;3
Stripped Spruce Log;18;16;16;4096;2.0;0.0;2;2;5;3
Loom;1;16;16;4096;2.5;0.0;2;2;5;3
Magma Block;1;16;16;4096;0.5;3.0;2;2;1;3
Mangrove Propagule;1;0;0;0;50.0;0.0;0;0;0;1
Mangrove Roots;1;16;16;4096;50.35;0.0;2;2;5;3
Melon;1;16;16;4096;1.0;0.0;2;2;5;1
Moss Block;1;16;16;4096;0.1;0.0;2;2;5;1
Moss Carpet;1;1;16;256;0.1;0.0;0;0;0;1
Moving Piston;1;0;0;0;0.0;0.0;0;0;0;0
Mud;1;14;16;3584;0.5;0.0;2;0;5;3
Mud Bricks;1;16;16;4096;3.0;0.0;2;2;5;3
Muddy Mangrove Roots;1;16;16;4096;0.7000000000000001;0.0;2;2;5;3
Brown Mushroom Block;3;16;16;4096;0.2;0.0;2;2;5;3
Mushroom Stem;3;16;16;4096;0.2;0.0;2;2;5;3
Red Mushroom Block;3;16;16;4096;0.2;0.0;2;2;5;3
Brown Mushroom;2;0;0;0;0.0;1.0;0;0;0;1
Red Mushroom;2;0;0;0;0.0;0.0;0;0;0;1
Mycelium;1;16;16;4096;0.6000000000000001;0.0;2;2;5;3
Chiseled Nether Bricks;4;16;16;4096;6.0;0.0;2;2;5;3
Cracked Nether Bricks;4;16;16;4096;6.0;0.0;2;2;5;3
Nether Bricks;4;16;16;4096;6.0;0.0;2;2;5;3
Red Nether Bricks;4;16;16;4096;6.0;0.0;2;2;5;3
Nether Gold Ore;1;16;16;4096;3.0;0.0;2;2;5;3
Nether Portal;1;0;0;0;0.0;11.0;0;0;0;0
Nether Quartz Ore;1;16;16;4096;3.0;0.0;2;2;5;3
Nether Sprouts;1;0;0;0;0.0;0.0;0;0;0;1
Nether Wart;1;0;0;0;0.0;0.0;0;0;0;1
Netherrack;1;16;16;4096;0.4;0.0;2;2;5;3
Note Block;1;16;16;4096;0.8;0.0;2;2;5;3
Crimson Nylium;2;16;16;4096;0.4;0.0;2;2;5;3
Warped Nylium;2;16;16;4096;0.4;0.0;2;2;5;3
Observer;1;16;16;4096;3.0;0.0;0;2;5;3
Obsidian;1;16;16;4096;1200.0;0.0;2;2;5;0
Packed Ice;1;16;16;4096;0.5;0.0;2;2;5;3
Packed Mud;1;16;16;4096;3.0;0.0;2;2;5;3
Pale Hanging Moss;1;16;0;0;0.0;0.0;0;0;0;1
Pale Moss Block;1;16;16;4096;0.1;0.0;2;2;5;1
Pale Moss Carpet;1;1;16;256;0.1;0.0;0;0;0;1
Pink Petals;1;0;0;0;0.0;0.0;0;0;0;1
Piston;3;12;12;1728;1.5;0.0;0;1;4;2
Piston Head;3;12;12;1728;1.5;0.0;0;1;4;2
Sticky Piston;3;12;12;1728;1.5;0.0;0;1;4;2
Pitcher Crop;1;4;12;576;0.0;0.0;0;0;0;1
Pitcher Plant;1;0;0;0;0.0;0.0;0;0;0;1
Acacia Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Bamboo Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Birch Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Cherry Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Crimson Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Dark Oak Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Jungle Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Mangrove Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Oak Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Pale Oak Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Spruce Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Warped Planks;12;16;16;4096;3.0;0.0;2;2;5;3
Podzol;1;16;16;4096;0.5;0.0;2;2;5;3
Pointed Dripstone;1;14;0;0;51.5;0.0;0;0;0;3
Polished Tuff;1;16;16;4096;6.0;0.0;2;2;5;3
Powder Snow;1;16;0;0;0.25;0.0;0;0;0;3
Powered Rail;1;0;0;0;50.35;0.0;0;0;0;3
Acacia Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Bamboo Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Birch Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Cherry Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Crimson Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Dark Oak Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Heavy Weighted Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Jungle Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Light Weighted Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Mangrove Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Oak Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Pale Oak Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Polished Blackstone Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Spruce Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Stone Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Warped Pressure Plate;16;0;0;0;0.5;0.0;0;0;0;1
Dark Prismarine;3;16;16;4096;6.0;0.0;2;2;5;3
Prismarine;3;16;16;4096;6.0;0.0;2;2;5;3
Prismarine Bricks;3;16;16;4096;6.0;0.0;2;2;5;3
Carved Pumpkin;2;16;16;4096;1.0;0.0;2;2;5;1
Pumpkin;2;16;16;4096;1.0;0.0;2;2;5;1
Purpur Block;2;16;16;4096;6.0;0.0;2;2;5;3
Purpur Pillar;2;16;16;4096;6.0;0.0;2;2;5;3
Rail;1;0;0;0;50.35;0.0;0;0;0;3
Red Sand;1;16;16;4096;0.5;0.0;2;2;5;3
Chiseled Red Sandstone;4;16;16;4096;0.8;0.0;2;2;5;3
Cut Red Sandstone;4;16;16;4096;0.8;0.0;2;2;5;3
Red Sandstone;4;16;16;4096;0.8;0.0;2;2;5;3
Smooth Red Sandstone;4;16;16;4096;6.0;0.0;2;2;5;3
Redstone Comparator;1;2;16;512;0.0;0.0;0;0;0;1
Redstone Wire;1;0;0;0;0.0;0.0;0;0;0;1
Redstone Lamp;1;16;16;4096;0.3;7.5;2;2;5;3
Deepslate Redstone Ore;2;16;16;4096;3.0;4.5;2;2;5;3
Redstone Ore;2;16;16;4096;3.0;4.5;2;2;5;3
Redstone Repeater;1;2;16;512;0.0;0.0;0;0;0;1
Redstone Torch;2;0;0;0;0.0;3.5;0;0;0;1
Redstone Wall Torch;2;0;0;0;0.0;3.5;0;0;0;1
Reinforced Deepslate;1;16;16;4096;1200.0;0.0;2;2;5;0
Block of Resin;1;16;16;4096;0.0;0.0;2;2;5;3
Chiseled Resin Bricks;2;16;16;4096;6.0;0.0;2;2;5;3
Resin Bricks;2;16;16;4096;6.0;0.0;2;2;5;3
Resin Clump;1;0;16;0;50.0;0.0;0;0;0;1
Respawn Anchor;1;16;16;4096;1200.0;7.2;2;2;4;0
Crimson Roots;2;0;0;0;0.0;0.0;0;0;0;1
Warped Roots;2;0;0;0;0.0;0.0;0;0;0;1
Sand;1;16;16;4096;0.5;0.0;2;2;5;3
Chiseled Sandstone;4;16;16;4096;0.8;0.0;2;2;5;3
Cut Sandstone;4;16;16;4096;0.8;0.0;2;2;5;3
Sandstone;4;16;16;4096;0.8;0.0;2;2;5;3
Smooth Sandstone;4;16;16;4096;6.0;0.0;2;2;5;3
Acacia Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Birch Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Cherry Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Dark Oak Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Jungle Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Oak Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Pale Oak Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Spruce Sapling;8;0;0;0;0.0;0.0;0;0;0;1
Scaffolding;1;6;12;864;50.0;0.0;0;0;0;3
Sculk;1;16;16;4096;0.2;0.0;2;2;5;3
Sculk Catalyst;1;16;16;4096;3.0;6.0;2;2;5;0
Sculk Sensor;1;8;16;2048;50.75;1.0;0;0;0;0
Sculk Shrieker;1;8;16;2048;51.5;0.0;0;0;0;0
Sculk Vein;1;0;0;0;50.1;0.0;0;0;0;1
Sea Lantern;1;16;16;4096;0.3;15.0;0;2;0;3
Sea Pickle;1;6;12;864;50.0;5.25;0;0;0;1
Seagrass;2;0;0;0;100.0;0.0;0;0;0;1
Tall Seagrass;2;0;0;0;100.0;0.0;0;0;0;1
Short Grass;1;0;0;0;0.0;0.0;0;0;0;1
Shroomlight;1;16;16;4096;1.0;15.0;2;2;0;3
Black Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Blue Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Brown Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Cyan Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Gray Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Green Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Light Blue Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Light Gray Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Lime Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Magenta Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Orange Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Pink Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Purple Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Red Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
White Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Yellow Shulker Box;17;20;20;8000;2.0;0.0;2;1;5;1
Acacia Sign;24;0;0;0;50.5;0.0;0;0;0;0
Acacia Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Bamboo Sign;24;0;0;0;50.5;0.0;0;0;0;0
Bamboo Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Birch Sign;24;0;0;0;50.5;0.0;0;0;0;0
Birch Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Cherry Sign;24;0;0;0;50.5;0.0;0;0;0;0
Cherry Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Crimson Sign;24;0;0;0;50.5;0.0;0;0;0;0
Crimson Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Dark Oak Sign;24;0;0;0;50.5;0.0;0;0;0;0
Dark Oak Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Jungle Sign;24;0;0;0;50.5;0.0;0;0;0;0
Jungle Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Mangrove Sign;24;0;0;0;50.5;0.0;0;0;0;0
Mangrove Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Oak Sign;24;0;0;0;50.5;0.0;0;0;0;0
Oak Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Pale Oak Sign;24;0;0;0;50.5;0.0;0;0;0;0
Pale Oak Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Spruce Sign;24;0;0;0;50.5;0.0;0;0;0;0
Spruce Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Warped Sign;24;0;0;0;50.5;0.0;0;0;0;0
Warped Wall Sign;24;0;0;0;50.5;0.0;0;0;0;0
Acacia Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Andesite Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Bamboo Mosaic Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Bamboo Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Birch Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Blackstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Cherry Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Cobbled Deepslate Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Cobblestone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Crimson Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Cut Copper Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Cut Red Sandstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Cut Sandstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Dark Oak Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Dark Prismarine Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Deepslate Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Deepslate Tile Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Diorite Slab;62;12;16;3072;53.0;0.0;1;1;4;3
End Stone Brick Slab;62;12;16;3072;54.5;0.0;1;1;4;3
Exposed Cut Copper Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Granite Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Jungle Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Mangrove Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Mossy Cobblestone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Mossy Stone Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Mud Brick Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Nether Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Oak Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Oxidized Cut Copper Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Pale Oak Slab;62;12;16;3072;51.5;0.0;1;1;4;3
Petrified Oak Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Polished Andesite Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Polished Blackstone Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Polished Blackstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Polished Deepslate Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Polished Diorite Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Polished Granite Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Polished Tuff Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Prismarine Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Prismarine Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Purpur Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Quartz Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Red Nether Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Red Sandstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Resin Brick Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Sandstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Smooth Quartz Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Smooth Red Sandstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
Smooth Sandstone Slab;62;12;16;3072;53.0;0.0;1;1;4;3
